{'mean': 8228.799783795765, 'std': 4392.798475994285, 'max': 20006.822918354806, 'min': 0.0}
         106486 function calls (103584 primitive calls) in 234.160 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    121/1    0.001    0.000  234.160  234.160 {built-in method builtins.exec}
        1    0.002    0.002  234.160  234.160 code.py:1(<module>)
        1  233.694  233.694  233.697  233.697 code.py:4(distance_matrix)
       15    0.001    0.000    0.446    0.030 __init__.py:1(<module>)
        1    0.090    0.090    0.258    0.258 code.py:24(distance_stats)
    162/4    0.001    0.000    0.200    0.050 <frozen importlib._bootstrap>:1165(_find_and_load)
    162/4    0.001    0.000    0.200    0.050 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
    150/4    0.001    0.000    0.199    0.050 <frozen importlib._bootstrap>:666(_load_unlocked)
    119/4    0.000    0.000    0.199    0.050 <frozen importlib._bootstrap_external>:934(exec_module)
    397/8    0.000    0.000    0.197    0.025 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    375/9    0.001    0.000    0.185    0.021 {built-in method builtins.__import__}
   250/40    0.001    0.000    0.183    0.005 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        1    0.002    0.002    0.084    0.084 twodim_base.py:1033(triu_indices)
      119    0.001    0.000    0.073    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
        3    0.070    0.023    0.070    0.023 twodim_base.py:1115(<genexpr>)
        1    0.000    0.000    0.057    0.057 {method 'std' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.057    0.057 _methods.py:204(_std)
        1    0.040    0.040    0.056    0.056 _methods.py:135(_var)
        1    0.000    0.000    0.056    0.056 __config__.py:1(<module>)
      119    0.001    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        5    0.043    0.009    0.043    0.009 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.033    0.033 index_tricks.py:1(<module>)
      119    0.031    0.000    0.031    0.000 {built-in method io.open_code}
  150/145    0.000    0.000    0.027    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    0.026    0.026 _distributor_init.py:1(<module>)
        1    0.000    0.000    0.026    0.026 defmatrix.py:1(<module>)
        1    0.000    0.000    0.023    0.023 linalg.py:1(<module>)
    30/28    0.000    0.000    0.022    0.001 <frozen importlib._bootstrap_external>:1231(create_module)
    30/28    0.018    0.001    0.022    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.020    0.020 _pickle.py:1(<module>)
